Date,Open,High,Low,Close,Volume
9/25/2023,41.59,42.54,41.18,42.22,"419,091,016"
9/26/2023,42,42.82,41.66,41.91,"402,282,066"
9/27/2023,42.33,42.87,41.63,42.47,"444,935,196"
9/28/2023,42.46,43.45,42.12,43.09,"424,662,806"
9/29/2023,43.83,44.14,43.31,43.5,"397,829,916"
10/2/2023,44.03,45.18,43.86,44.78,"433,298,196"
10/3/2023,44.81,45.13,43.25,43.52,"470,849,525"
10/4/2023,43.74,44.14,43.29,44.04,"361,820,896"
10/5/2023,44.05,44.9,43.89,44.69,"393,483,116"
10/6/2023,44.19,45.79,44.03,45.76,"434,436,016"
10/9/2023,44.84,45.61,44.37,45.27,"409,674,726"
10/10/2023,45.31,46.26,45.09,45.8,"368,582,066"
10/11/2023,46.2,46.86,46.05,46.81,"378,136,876"
10/12/2023,46.78,47.61,46.33,46.95,"481,324,995"
10/13/2023,46.96,47.12,45.28,45.46,"475,426,015"
10/16/2023,45.06,46.23,44.91,46.1,"375,099,216"
10/17/2023,44,44.75,42.48,43.94,"812,332,722"
10/18/2023,42.59,43.22,41.83,42.2,"627,294,374"
10/19/2023,42.81,43.3,41.88,42.1,"501,233,115"
10/20/2023,41.89,42.47,41.08,41.39,"477,266,085"
10/23/2023,41.23,43.25,40.95,42.98,"478,530,465"
10/24/2023,43.08,43.7,42.69,43.66,"401,463,396"
10/25/2023,43.4,43.65,41.56,41.78,"398,379,216"
10/26/2023,41.85,42.26,39.88,40.33,"541,001,285"
10/27/2023,41.13,41.21,40.02,40.5,"416,784,406"
10/30/2023,41.09,41.77,40.48,41.16,"388,028,086"
10/31/2023,40.45,40.88,39.23,40.78,"517,968,705"
11/1/2023,40.88,42.38,40.87,42.33,"437,592,886"
11/2/2023,43.33,43.88,42.89,43.51,"409,171,906"
11/3/2023,44.02,45.31,43.72,45.01,"424,609,606"
11/6/2023,45.28,45.94,44.9,45.75,"400,733,396"
11/7/2023,45.72,46.22,45.16,45.96,"343,165,507"
11/8/2023,46.1,46.87,45.97,46.57,"346,718,867"
11/9/2023,47.47,48.23,46.75,46.95,"540,496,015"
11/10/2023,47.5,48.47,47.28,48.34,"422,441,596"
11/13/2023,48.32,49.12,48.1,48.62,"384,135,656"
11/14/2023,49.68,49.83,49.04,49.66,"416,953,906"
11/15/2023,49.94,49.96,48.2,48.89,"475,497,375"
11/16/2023,48.68,49.52,48.33,49.48,"339,756,207"
11/17/2023,49.52,49.72,49.01,49.3,"325,896,887"
11/20/2023,49.31,50.55,49.18,50.41,"416,142,616"
11/21/2023,50.13,50.52,49.22,49.94,"565,746,874"
11/22/2023,49.85,50.33,47.69,48.72,"900,642,331"
11/24/2023,48.47,48.92,47.75,47.78,"294,644,627"
11/27/2023,47.8,48.53,47.65,48.24,"395,661,906"
11/28/2023,48.24,48.32,47.47,47.82,"401,490,896"
11/29/2023,48.38,48.76,47.86,48.14,"382,004,726"
11/30/2023,48.02,48.11,46.42,46.77,"526,246,595"
12/1/2023,46.53,47.2,46.19,46.77,"369,316,986"
12/4/2023,46.08,46.08,45.01,45.51,"437,543,396"
12/5/2023,45.47,46.6,45.27,46.57,"371,717,616"
12/6/2023,47.21,47.39,45.41,45.5,"380,589,606"
12/7/2023,45.7,46.63,45.6,46.6,"350,822,616"
12/8/2023,46.6,47.74,46.55,47.51,"359,223,666"
12/11/2023,47.49,47.53,45.83,46.63,"509,728,085"
12/12/2023,46.05,47.67,46.05,47.66,"372,386,876"
12/13/2023,47.63,48.59,47.61,48.09,"447,791,906"
12/14/2023,48.39,48.67,47.42,48.35,"391,231,676"
12/15/2023,48.19,49.4,48.12,48.89,"479,947,615"
12/18/2023,49.4,50.43,49.15,50.08,"412,587,186"
12/19/2023,49.42,49.7,48.9,49.6,"464,444,485"
12/20/2023,49.66,50,48.1,48.11,"397,894,406"
12/21/2023,48.81,49.1,48.42,48.99,"300,425,427"
12/22/2023,49.2,49.38,48.47,48.83,"252,506,797"
12/26/2023,48.97,49.6,48.96,49.28,"244,199,488"
12/27/2023,49.51,49.68,49.09,49.42,"233,648,008"
12/28/2023,49.64,49.88,49.41,49.52,"246,587,498"
12/29/2023,49.81,50,48.75,49.52,"389,293,276"
1/2/2024,49.24,49.3,47.6,48.17,"411,254,216"
1/3/2024,47.49,48.18,47.32,47.57,"320,896,187"
1/4/2024,47.77,48.5,47.51,48,"306,534,877"
1/5/2024,48.46,49.55,48.31,49.1,"415,039,296"
1/8/2024,49.51,52.28,49.48,52.25,"642,509,874"
1/9/2024,52.4,54.33,51.69,53.14,"773,100,072"
1/10/2024,53.62,54.6,53.49,54.35,"533,795,775"
1/11/2024,55,55.35,53.56,54.82,"596,758,784"
1/12/2024,54.62,54.97,54.33,54.71,"352,993,586"
1/16/2024,55.02,56.83,54.9,56.38,"449,579,686"
1/17/2024,56.35,56.47,54.74,56.05,"474,394,405"
1/18/2024,57.26,57.6,56.11,57.11,"491,650,385"
1/19/2024,57.99,59.5,57.23,59.49,"543,501,515"
1/22/2024,60.05,60.33,59.07,59.65,"452,954,605"
1/23/2024,59.57,59.91,58.59,59.87,"294,654,487"
1/24/2024,60.3,62.85,59.94,61.36,"560,270,774"
1/25/2024,62.35,62.72,60.85,61.62,"482,776,795"
1/26/2024,60.96,61.78,60.57,61.03,"390,308,586"
1/29/2024,61.23,62.49,60.91,62.47,"348,733,007"
1/30/2024,62.9,63.49,62.26,62.77,"410,735,266"
1/31/2024,61.44,62.27,60.7,61.53,"453,794,875"
2/1/2024,62.1,63.19,61.65,63.03,"369,145,776"
2/2/2024,63.97,66.6,63.69,66.16,"476,577,695"
2/5/2024,68.23,69.5,67.21,69.33,"680,077,963"
2/6/2024,69.63,69.75,66.3,68.22,"683,111,323"
2/7/2024,68.32,70.22,67.6,70.1,"495,574,605"
2/8/2024,70.07,70.79,69.46,69.64,"414,422,066"
2/9/2024,70.53,72.19,70.21,72.13,"436,636,876"
2/12/2024,72.6,74.61,71.25,72.25,"613,710,194"
2/13/2024,70.4,73.45,69.62,72.13,"602,580,154"
2/14/2024,73.2,74.24,71.94,73.9,"504,917,375"
2/15/2024,73.87,73.98,72.4,72.66,"420,121,796"
2/16/2024,74.1,74.4,72.5,72.61,"495,326,595"
2/20/2024,71.95,71.96,67.73,69.45,"704,833,113"
2/21/2024,68.01,68.89,66.25,67.47,"690,298,043"
2/22/2024,75.03,78.58,74.22,78.54,"865,099,681"
2/23/2024,80.79,82.39,77.57,78.82,"829,388,432"
2/26/2024,79.7,80.65,78.51,79.09,"503,972,725"
2/27/2024,79.38,79.48,77.16,78.7,"391,705,196"
